0,1,2,3
C# Developer (Work from Home),ORBNET Systems,2250 - 2490 €,https://www.bestjobs.eu/ro/loc-de-munca/c-developer-work-from-home
Embedded Software Developer,ESPRIT ENGINEERING S.R.L.,2035 - 2245 €,https://www.bestjobs.eu/ro/loc-de-munca/embedded-software-developer-156
C++ Developer (automotive),Randstad Digital Romania,,https://www.bestjobs.eu/ro/loc-de-munca/c-developer-automotive-4
.NET Developer,Confidential,2250 - 2490 €,https://www.bestjobs.eu/ro/loc-de-munca/net-developer-698
Software Developer (PHP & Java),Randstad Digital Romania,,https://www.bestjobs.eu/ro/loc-de-munca/software-developer-php-java
Test Developer,Randstad Digital Romania,,https://www.bestjobs.eu/ro/loc-de-munca/test-developer-14
Embedded Software Developer (Signal Processing),Randstad Digital Romania,,https://www.bestjobs.eu/ro/loc-de-munca/embedded-software-developer-signal-processing-2
Test Automation Developer,ORION INNOVATION S.R.L,,https://www.bestjobs.eu/ro/loc-de-munca/test-automation-developer-8
Full Stack PHP Engineer,mdundo.com,2000 - 2300 €,https://www.bestjobs.eu/ro/loc-de-munca/full-stack-php-engineer-4
Senior Java Backend Developer,ORION INNOVATION S.R.L,,https://www.bestjobs.eu/ro/loc-de-munca/senior-java-backend-developer-14
Senior React developer,Arnia Software,1865 - 2060 €,https://www.bestjobs.eu/ro/loc-de-munca/senior-react-developer-35
Senior Fullstack Developer,ORION INNOVATION S.R.L,,https://www.bestjobs.eu/ro/loc-de-munca/senior-fullstack-developer-18
Mid-level Backend Developer (Node.js & TypeScript),Elite Alliance,1660 - 1835 €,https://www.bestjobs.eu/ro/loc-de-munca/mid-level-backend-developer-node-js-typescript
ServiceNow Developer,Randstad Digital Romania,,https://www.bestjobs.eu/ro/loc-de-munca/servicenow-developer-17
Senior Angular Developer,Arnia Software,1740 - 1925 €,https://www.bestjobs.eu/ro/loc-de-munca/senior-angular-developer-31
SAP ABAP Developer,Wipro,2360 - 2605 €,https://www.bestjobs.eu/ro/loc-de-munca/sap-abap-developer-50
SAP BI/BW Hana Developer,Wipro,1480 - 1635 €,https://www.bestjobs.eu/ro/loc-de-munca/sap-bi-bw-hana-developer
C++ Developer,ORION INNOVATION S.R.L,,https://www.bestjobs.eu/ro/loc-de-munca/c-developer-298
SQL Developer / Technical Consultant,TOTALSOFT,1565 - 1725 €,https://www.bestjobs.eu/ro/loc-de-munca/sql-developer-technical-consultant-28
Programator JavaScript (Node.js) / Python / AI,VEZIV IT SERVICES S.R.L.,1000 - 1200 €,https://www.bestjobs.eu/ro/loc-de-munca/programator-javascript-node-js-python-ai
Full stack developer,Apisoft SRL,,https://www.bestjobs.eu/ro/loc-de-munca/full-stack-developer-446
Programator SAP ABAP,CHORUS RESEARCH ENGINEERING,,https://www.bestjobs.eu/ro/loc-de-munca/programator-sap-abap-13
FullStack Java Developer,Confidential,2260 - 2495 €,https://www.bestjobs.eu/ro/loc-de-munca/fullstack-java-developer-14
DevOps Engineer,Randstad Digital Romania,,https://www.bestjobs.eu/ro/loc-de-munca/devops-engineer-687
Junior Developer,Junior Developer,,ejobs.ro/user/locuri-de-munca/junior-developer/1780933
Senior Developer,Senior Developer,,ejobs.ro/user/locuri-de-munca/senior-developer/1780936
Developer Support Engineer - Brasov,Developer Support Engineer - Brasov,,ejobs.ro/user/locuri-de-munca/developer-support-engineer-brasov/1778582
